"ev_takim","dep_takim","ev_sonuc","dep_sonuc","ev_topla_oynama","ev_ikili_mucadele_kazanma","ev_hava_topu","ev_pas_arasi","ev_ofsayt","ev_korner","dep_topla_oynama","dep_ikili_mucadele_kazanma","dep_hava_topu","dep_pas_arasi","dep_ofsayt","dep_korner","ev_pas","ev_uzun_pas","ev_pas_isabet","ev_rakip_yari_sahada_pas_isabeti","ev_orta","ev_orta_istabeti","dep_pas","dep_uzun_pas","dep_pas_isabet","dep_rakip_yari_sahada_pas_isabeti","dep_orta","dep_orta_istabeti","ev_gol","ev_sut","ev_isabetli_sut","ev_sut_engelleme","ev_ceza_sahasinin_disindan_sut","ev_ceza_sahasinin_icinden_sut","ev_sut_isabeti","dep_gol","dep_sut","dep_isabetli_sut","dep_sut_engelleme","dep_ceza_sahasi_disindan_sut","dep_ceza_sahasi_icinden_sut","dep_sut_isabeti","ev_top_kapma","ev_top_kapma_basarisi","ev_uzaklastirma","dep_top_kapma","dep_top_kapma_basarisi","dep_uzaklastirma","ev_faul","ev_sari_kart","ev_kirmizi_kart","dep_faul","dep_sari_kart","dep_kirmizi_kart"
"MKE Ankaragücü","Çaykur Rizespor","2","2","%44,7","%46,5","%35,1","12","1","7","%55,3","%53,5","%64,9","8","1","4","345","47","%77,1","%62,4","25","%16,0","441","70","%79,4","%70,5","18","%27,8","2","10","3","2","3","7","%30,0","2","16","5","4","7","9","%31,3","18","%50,0","15","14","%71,4","23","15","5","0","13","2","0","0"
"BB Erzurumspor","Galatasaray","1","1","%46,6","%38,9","%30,3","12","4","6","%53,4","%61,1","%69,7","9","1","9","330","71","%75,8","%64,1","22","%18,2","381","44","%76,4","%64,8","24","%20,8","1","18","6","5","10","8","%33,3","1","15","4","4","8","7","%26,7","15","%26,7","25","19","%47,4","25","11","0","0","11","1","0","0"
"Trabzonspor","İstanbul Başakşehir","2","4","%49,0","%43,8","%42,4","14","1","8","%51,0","%56,2","%57,6","14","0","4","425","47","%80,0","%64,2","23","%34,8","455","51","%81,5","%70,0","8","%25,0","2","20","10","4","10","10","%50,0","4","10","8","1","2","8","%80,0","15","%66,7","9","23","%60,9","19","17","3","0","15","2","0","2"
"Trabzonspor","Çaykur Rizespor","4","1","%49,6","%39,2","%40,4","11","3","6","%50,4","%60,8","%59,6","13","0","4","418","52","%80,1","%67,0","13","%7,7","425","60","%79,1","%72,4","14","%28,6","4","17","5","6","12","5","%29,4","1","14","7","2","6","8","%50,0","11","%72,7","15","22","%50,0","17","19","4","0","8","2","0","1"
"Fenerbahçe","Kasımpaşa","2","2","%60,3","%58,9","%55,3","8","1","8","%39,7","%41,1","%44,7","20","1","2","515","56","%79,0","%70,7","38","%31,6","353","52","%77,6","%72,5","10","%20,0","2","21","3","5","7","14","%14,3","2","16","3","6","10","6","%18,8","22","%63,6","11","13","%53,8","44","11","3","0","19","1","0","0"
"Bursaspor","Yeni Malatyaspor","1","1","%61,2","%52,3","%59,5","13","1","5","%38,8","%47,7","%40,5","10","0","1","534","54","%83,5","%66,1","33","%15,2","358","77","%74,3","%65,3","2","%0,0","1","9","2","2","3","6","%22,2","1","4","1","1","2","2","%25,0","12","%75,0","9","14","%64,3","29","13","1","0","12","1","1","0"
"Trabzonspor","Alanyaspor","0","2","%61,4","%48,1","%57,1","20","2","4","%38,6","%51,9","%42,9","15","0","2","553","49","%82,1","%73,0","18","%5,6","347","67","%71,5","%63,9","14","%28,6","0","13","2","8","7","6","%15,4","2","11","6","2","3","8","%54,5","25","%56,0","13","35","%77,1","32","19","1","0","17","2","0","2"
"BB Erzurumspor","Alanyaspor","1","0","%57,9","%52,4","%51,6","20","3","6","%42,1","%47,6","%48,4","12","1","5","438","68","%75,3","%58,1","20","%15,0","318","78","%59,7","%50,2","16","%18,8","1","14","4","1","7","7","%28,6","0","6","1","3","1","5","%16,7","18","%77,8","14","19","%57,9","28","10","2","0","15","2","0","1"
"Göztepe","Kayserispor","2","0","%48,8","%45,0","%44,4","9","3","4","%51,2","%55,0","%55,6","4","1","1","441","65","%79,1","%68,9","11","%45,5","453","62","%82,1","%68,0","20","%10,0","2","16","6","4","5","11","%37,5","0","9","1","4","5","4","%11,1","17","%76,5","17","16","%68,8","20","11","1","0","10","2","0","1"
"Beşiktaş","MKE Ankaragücü","4","1","%45,3","%50,0","%37,1","11","1","2","%54,7","%50,0","%62,9","10","3","9","343","57","%70,8","%58,0","13","%23,1","404","39","%76,7","%64,5","27","%14,8","4","9","5","2","4","5","%55,6","1","15","8","4","8","7","%53,3","19","%68,4","32","11","%63,6","10","15","2","0","18","3","0","1"
